127.0.0.1 - - [15/Apr/2023:16:38:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Apr/2023:16:38:56 +0900] "GET /app02/ HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [15/Apr/2023:16:38:56 +0900] "GET /app02/resources/js/lib/jquery-3.6.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2023:16:38:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Apr/2023:16:38:59 +0900] "GET /app02/third.do HTTP/1.1" 200 2658
0:0:0:0:0:0:0:1 - - [15/Apr/2023:16:40:16 +0900] "POST /app02/third/ajax1 HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [15/Apr/2023:16:40:17 +0900] "POST /app02/third/ajax2 HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [15/Apr/2023:16:40:37 +0900] "POST /app02/third/ajax2 HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [15/Apr/2023:16:40:46 +0900] "POST /app02/third/ajax2 HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [15/Apr/2023:16:40:51 +0900] "POST /app02/third/ajax2 HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [15/Apr/2023:16:40:54 +0900] "POST /app02/third/ajax2 HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [15/Apr/2023:16:40:56 +0900] "POST /app02/third/ajax2 HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [15/Apr/2023:16:40:58 +0900] "POST /app02/third/ajax2 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [15/Apr/2023:16:41:22 +0900] "POST /app02/third/ajax2 HTTP/1.1" 200 51
